t,S,I,R
5.701370098148933,843,128,29
5.727507958427731,843,127,30
5.771518540806548,842,128,30
5.778974421614038,841,129,30
5.791365756528729,840,130,30
5.811913668497376,839,131,30
5.812046513513302,838,132,30
5.812582900848068,837,133,30
5.841165838747813,837,132,31
5.847145662334615,837,131,32
5.8590863491348735,836,132,32
5.864739152900609,836,131,33
5.896546772419643,836,130,34
5.908117425262113,835,131,34
5.920381679459415,834,132,34
5.949767737982401,833,133,34
5.962213226263151,833,132,35
5.963971226609716,832,133,35
5.964333452074449,832,132,36
5.97059064671314,832,131,37
5.9722733964191725,831,132,37
5.974832018465352,831,131,38
5.994982554792356,830,132,38
6.006817207918701,829,133,38
6.00913140508046,828,134,38
6.015457060790466,828,133,39
6.017353042417401,828,132,40
6.040985264297781,828,131,41
6.113003086741619,827,132,41
6.113183542782615,826,133,41
6.139159895282495,825,134,41
6.151026743522406,825,133,42
6.164786025859114,824,134,42
6.201903573434511,823,135,42
6.230381558593165,822,136,42
6.231647235751572,821,137,42
6.256151182420967,820,138,42
6.30922784781771,819,139,42
6.332272745035282,819,138,43
6.345217616487977,819,137,44
6.346021342405324,818,138,44
6.3745959626048485,817,139,44
6.399383597275222,816,140,44
6.405337865423151,815,141,44
6.418449085790853,815,140,45
6.433040506266671,815,139,46
6.520800401341024,814,140,46
6.523802537149507,813,141,46
6.531155396759103,812,142,46
6.551853515458114,811,143,46
6.552965119437998,810,144,46
6.554493172317557,809,145,46
6.554603620863917,808,146,46
6.590642815847415,807,147,46
6.5922871156464975,806,148,46
6.5935554786008455,805,149,46
6.6065617386212,804,150,46
6.62027163877668,803,151,46
6.637189322119628,802,152,46
6.650100577664217,801,153,46
6.6534688528242265,800,154,46
6.655109657666098,799,155,46
6.676202299947783,798,156,46
6.68908412550343,797,157,46
6.700712522375721,796,158,46
6.702443327565007,795,159,46
6.717124389404465,794,160,46
6.777778677921145,794,159,47
6.782762404911001,793,160,47
6.800984556347471,792,161,47
6.808260087346099,792,160,48
6.810879928543603,792,159,49
6.861425007286801,791,160,49
6.86776671369143,791,159,50
6.919128835351739,791,158,51
6.949026995091554,790,159,51
6.952927941679504,789,160,51
6.954388589899819,788,161,51
6.95891386436902,787,162,51
6.959147924603306,786,163,51
6.965540433467122,785,164,51
6.982577679916524,784,165,51
7.005592184455743,783,166,51
7.046772302012826,783,165,52
7.049565389399418,783,164,53
7.054072293341076,782,165,53
7.055818585526962,782,164,54
7.06552936166388,781,165,54
7.067072321546732,780,166,54
7.070051017933019,779,167,54
7.085001655625003,779,166,55
7.0944719321576795,779,165,56
7.105741401134009,778,166,56
7.12722460085761,777,167,56
7.158870338345844,776,168,56
7.169744368326146,775,169,56
7.186053486622506,775,168,57
7.207743151179695,775,167,58
7.2095183746490665,775,166,59
7.2100232640521975,774,167,59
7.233498827288987,773,168,59
7.248685830789412,773,167,60
7.268909037085887,772,168,60
7.276797581269719,771,169,60
7.278777954125989,770,170,60
7.283911166892002,770,169,61
7.285991914939677,769,170,61
7.287652913053536,768,171,61
7.290413678075009,767,172,61
7.306612109150608,767,171,62
7.322291261807395,766,172,62
7.333905157603612,765,173,62
7.33671164611027,764,174,62
7.362115363123913,763,175,62
7.3653494356431,762,176,62
7.372082627914767,762,175,63
7.374051333527002,761,176,63
7.375017249214543,760,177,63
7.376430658508719,760,176,64
7.39949859174839,759,177,64
7.399872817144379,758,178,64
7.408099947461108,757,179,64
7.418277021765929,757,178,65
7.418414713159895,756,179,65
7.435849700044143,755,180,65
7.452598350050757,754,181,65
7.464995965331251,753,182,65
7.472655775792815,752,183,65
7.492299504850345,751,184,65
7.54713142084224,750,185,65
7.552301397729214,749,186,65
7.55436500986936,748,187,65
7.557205412000296,747,188,65
7.563289524698815,746,189,65
7.578000392853407,746,188,66
7.581402532387398,745,189,66
7.606595487595051,744,190,66
7.611776509783427,744,189,67
7.61608409175721,743,190,67
7.623834595995263,742,191,67
7.640855609282268,741,192,67
7.645789031833913,740,193,67
7.654026461655577,739,194,67
7.656941974524287,739,193,68
7.676585565129095,738,194,68
7.678340115021736,737,195,68
7.684399202340277,736,196,68
7.69859249927273,735,197,68
7.703976715022417,734,198,68
7.705130243480225,734,197,69
7.721054031746203,733,198,69
7.736659693968282,732,199,69
7.743168668259337,731,200,69
7.776382175215653,731,199,70
7.799307175094017,731,198,71
7.83040583558099,731,197,72
7.833960157760851,731,196,73
7.8488946575814085,730,197,73
7.861128959465821,730,196,74
7.866976173443293,729,197,74
7.900860600788301,728,198,74
7.90240282232371,728,197,75
7.9127180009371,728,196,76
7.915323286441579,728,195,77
7.925284986249624,728,194,78
7.93245581638437,727,195,78
7.935209424424774,726,196,78
7.944114454310421,725,197,78
7.9583491555806685,725,196,79
7.971194994997244,725,195,80
7.996889693950965,724,196,80
8.004458833907501,723,197,80
8.010720539775614,723,196,81
8.042470563243862,722,197,81
8.057741282687235,722,196,82
8.066799676874107,721,197,82
8.071777613192879,720,198,82
8.073570428794339,719,199,82
8.088368332860894,718,200,82
8.118850820129863,717,201,82
8.127733068828283,717,200,83
8.128975202891029,716,201,83
8.130127683730073,715,202,83
8.134380794426187,714,203,83
8.13715845366395,713,204,83
8.144630542935854,713,203,84
8.146397309485321,712,204,84
8.15266809316838,712,203,85
8.166181943017875,712,202,86
8.175752281711818,712,201,87
8.179427058904425,711,202,87
8.182323894028846,710,203,87
8.183256760901799,709,204,87
8.194212742897731,708,205,87
8.21152292939669,708,204,88
8.232343371094744,707,205,88
8.232392976692307,706,206,88
8.244334456572277,706,205,89
8.249220556196008,706,204,90
8.270396873345566,705,205,90
8.272741227690016,705,204,91
8.275748210077147,705,203,92
8.275937274399142,704,204,92
8.277972279125747,703,205,92
8.284499606091535,702,206,92
8.284600683263186,701,207,92
8.30168777338118,700,208,92
8.311540483612273,700,207,93
8.333709497470105,699,208,93
8.336413140427519,698,209,93
8.338652877448549,697,210,93
8.364253026197087,697,209,94
8.365352003251996,697,208,95
8.386552762890583,696,209,95
8.386656536791298,695,210,95
8.395308309387776,695,209,96
8.4082286717431,695,208,97
8.412826713255043,695,207,98
8.416186884569216,694,208,98
8.432536719696841,693,209,98
8.445093368698895,692,210,98
8.445220252503482,692,209,99
8.448510361492406,691,210,99
8.455733949317315,690,211,99
8.460092147621223,689,212,99
8.477377726485232,688,213,99
8.493441928929,687,214,99
8.497061781443984,686,215,99
8.497532853240006,686,214,100
8.503677237445238,686,213,101
8.516362379969193,685,214,101
8.517007547644035,684,215,101
8.526513311247228,684,214,102
8.531668885941835,683,215,102
8.562093438149677,682,216,102
8.56287137395443,682,215,103
8.572555837407677,682,214,104
8.57287859684309,682,213,105
8.587939711195826,682,212,106
8.588345814311255,681,213,106
8.593514596550746,680,214,106
8.616533662225022,679,215,106
8.61933249514571,678,216,106
8.620008272841805,678,215,107
8.623349079630756,677,216,107
8.630755967745467,676,217,107
8.6448967730853,675,218,107
8.648972105511753,674,219,107
8.66222041661161,673,220,107
8.672728103747591,673,219,108
8.688402255225622,673,218,109
8.697835130670022,673,217,110
8.69857786609854,672,218,110
8.70013894045726,672,217,111
8.704309898113541,672,216,112
8.708741568160612,671,217,112
8.716577829040382,670,218,112
8.720584153086453,669,219,112
8.727949054761694,669,218,113
8.744135380248414,669,217,114
8.748217231921535,668,218,114
8.754972568047693,667,219,114
8.756151900232833,667,218,115
8.765805715707124,667,217,116
8.777708823937253,666,218,116
8.794222765552364,665,219,116
8.803181199478582,664,220,116
8.815051206654113,663,221,116
8.818011225869192,662,222,116
8.81804664192077,662,221,117
8.82320760484118,662,220,118
8.825800917917318,661,221,118
8.840597518679353,661,220,119
8.868393975183261,660,221,119
8.871145965362754,659,222,119
8.871251406446573,658,223,119
8.87573154778058,657,224,119
8.880050779839415,657,223,120
8.884964040871159,656,224,120
8.896079800364575,655,225,120
8.900174571465284,654,226,120
8.902635746011198,653,227,120
8.921544144355762,652,228,120
8.923276597645822,651,229,120
8.935263201505947,650,230,120
8.949002451416005,650,229,121
8.950993472672524,650,228,122
8.95819980516037,650,227,123
8.958603410263768,650,226,124
8.962857200337051,650,225,125
8.973736504712793,649,226,125
8.980242827314937,648,227,125
8.990314224334469,647,228,125
