id,arrival,start,finish,wait_time,service_time
1,0.14518451436852475,0.14518451436852475,1.8198657881749165,0.0,1.6746812738063919
2,0.5941831542903504,0.5941831542903504,2.011961494422553,0.0,1.4177783401322026
3,1.5490648267819074,1.8198657881749165,3.5025719297004283,0.27080096139300913,1.6827061415255118
5,1.6911000709069648,3.5025719297004283,4.198975268142409,1.8114718587934635,0.6964033384419803
6,2.2989039524296317,4.198975268142409,7.233823669380197,1.9000713157127769,3.034848401237788
4,1.6242796925312217,2.011961494422553,9.674262342672566,0.3876818018913313,7.6623008482500135
8,5.16494279700802,9.674262342672566,9.733702584252999,4.509319545664546,0.059440241580432485
7,4.377930221620456,7.233823669380197,10.098467000904694,2.8558934477597404,2.8646433315244977
10,7.828990220943469,10.098467000904694,12.689380065385759,2.2694767799612254,2.5909130644810645
9,7.0099944106308705,9.733702584252999,12.718464965034027,2.7237081736221285,2.984762380781028
11,8.971101890809111,12.689380065385759,14.23526725833032,3.718278174576648,1.5458871929445603
12,11.919179488079832,12.718464965034027,15.473357337234635,0.7992854769541946,2.754892372200608
14,16.069014420480464,16.069014420480464,16.32875421109624,0.0,0.25973979061577523
13,12.68652755464513,14.23526725833032,16.482625343974227,1.5487397036851895,2.247358085643908
15,18.14316642520691,18.14316642520691,18.845530557075612,0.0,0.702364131868702
16,22.458520156865283,22.458520156865283,25.002252321560913,0.0,2.54373216469563
18,26.338997953649585,26.338997953649585,26.350799415378106,0.0,0.01180146172852048
19,26.85595179780316,26.85595179780316,26.868476149244078,0.0,0.012524351440916348
17,25.45645888639873,25.45645888639873,27.912706919394097,0.0,2.4562480329953686
20,27.57174714247525,27.57174714247525,29.71916951346357,0.0,2.14742237098832
22,29.973500123225932,29.973500123225932,30.062708620746623,0.0,0.0892084975206906
23,32.606843734849136,32.606843734849136,33.36629309490528,0.0,0.7594493600561449
21,29.066330171566218,29.066330171566218,34.34801404289969,0.0,5.281683871333474
25,34.547861690473496,34.547861690473496,34.66999919462739,0.0,0.12213750415389057
24,33.50064850325357,33.50064850325357,35.589301906593,0.0,2.0886534033394284
26,35.02482413816678,35.02482413816678,36.54324299243115,0.0,1.5184188542643753
27,36.60907362518617,36.60907362518617,37.91458137337213,0.0,1.3055077481859598
28,37.028705340760354,37.028705340760354,39.76758125651681,0.0,2.7388759157564593
29,39.526657099378426,39.526657099378426,43.728988543326565,0.0,4.20233144394814
30,39.83441009316409,39.83441009316409,45.76624408293789,0.0,5.9318339897738
31,40.44787524447751,43.728988543326565,45.8246116638791,3.281113298849057,2.0956231205525313
